排名:,标题:,主演:,评分:
197,魔女宅急便,高山南,8.7
198,遗愿清单,杰克·尼科尔森,8.7
199,东京教父,江守彻,9.0
200,你看起来好像很好吃,山口胜平,8.9
201,大佛普拉斯,庄益增,8.7
202,真爱至上,休·格兰特,8.6
203,黑天鹅,娜塔莉·波特曼,8.6
204,可可西里,多布杰,8.9
205,城市之光,查理·卓别林,9.3
206,源代码,杰克·吉伦哈尔,8.5
207,雨人,达斯汀·霍夫曼,8.7
208,海边的曼彻斯特,卡西·阿弗莱克,8.6
209,恋恋笔记本,瑞恩·高斯林,8.5
210,初恋这件小事,,8.5
211,波西米亚狂想曲,拉米·马雷克,8.6
212,人工智能,海利·乔·奥斯蒙,8.7
213,青蛇,张曼玉,8.6
214,虎口脱险,路易·德·菲耐斯,8.9
215,终结者2：审判日,阿诺·施瓦辛格,8.8
216,疯狂的麦克斯4：狂暴之路,汤姆·哈迪,8.7
217,罗生门,三船敏郎,8.8
218,萤火虫之墓,辰己努,8.7
219,新龙门客栈,张曼玉,8.7
220,千钧一发,伊桑·霍克,8.8
221,末路狂花,吉娜·戴维斯,8.9
222,崖上的波妞,奈良柚莉爱,8.6
223,无耻混蛋,布拉德·皮特,8.6
224,奇迹男孩,雅各布·特伦布莱,8.6
225,彗星来的那一夜,艾米丽·芭尔多尼,8.6
226,花束般的恋爱,菅田将晖,8.6
227,二十二,,8.7
228,黑客帝国2：重装上阵,,8.7
229,爱乐之城,瑞恩·高斯林,8.4
230,血钻,莱昂纳多·迪卡普里奥,8.7
231,芙蓉镇,刘晓庆,9.3
232,战争之王,尼古拉斯·凯奇,8.7
233,房间,布丽·拉尔森,8.8
234,步履不停,阿部宽,8.8
235,魂断蓝桥,费雯·丽,8.8
236,哈利·波特与死亡圣器(上),丹尼尔·雷德克里夫,8.5
237,火星救援,马特·达蒙,8.5
238,千年女优,庄司美代子,8.8
239,谍影重重2,马特·达蒙,8.7
240,弱点,桑德拉·布洛克,8.7
241,阿飞正传,张国荣,8.5
242,白日梦想家,本·斯蒂勒,8.6
243,谍影重重,马特·达蒙,8.6
244,燃情岁月,布拉德·皮特,8.8
245,哈利·波特与凤凰社,丹尼尔·雷德克里夫,8.5
246,朗读者,凯特·温丝莱特,8.6
247,再次出发之纽约遇见你,凯拉·奈特莉,8.6
248,蜘蛛侠：平行宇宙,,8.6
249,香水,本·卫肖,8.5
250,穿越时空的少女,仲里依纱,8.6
